name	x	y	z	type	material
A1 (Cz)	0	0	88	ring	Ag/AgCl
A2	0	-17	86	ring	Ag/AgCl
A3 (CPz)	0	-34	81	ring	Ag/AgCl
A4	0	-50	72	ring	Ag/AgCl
A5 (approx: P1)	-24	-58	61	ring	Ag/AgCl
A6	-45	-45	61	ring	Ag/AgCl
A7 (approx: P3)	-52	-52	47	ring	Ag/AgCl
A8	-48	-66	31	ring	Ag/AgCl
A9	-51	-70	14	ring	Ag/AgCl
A10 (PO7)	-51	-71	-3	ring	Ag/AgCl
A11	-50	-69	-20	ring	Ag/AgCl
A12	-47	-64	-37	ring	Ag/AgCl
A13	-25	-75	-37	ring	Ag/AgCl
A14	-26	-81	-20	ring	Ag/AgCl
A15 (O1)	-27	-83	-3	ring	Ag/AgCl
A16	-27	-82	14	ring	Ag/AgCl
A17 (approx: PO3)	-25	-78	31	ring	Ag/AgCl
A18 (approx: CMS)	-28	-68	47	ring	Ag/AgCl
A19 (Pz)	0	-63	61	ring	Ag/AgCl
A20	0	-74	47	ring	Ag/AgCl
A21 (POz)	0	-82	31	ring	Ag/AgCl
A22	0	-86	14	ring	Ag/AgCl
A23 (Oz)	0	-87	-3	ring	Ag/AgCl
A24	0	-85	-20	ring	Ag/AgCl
A25 (Iz, Inion)	0	-79	-37	ring	Ag/AgCl
A26	25	-75	-37	ring	Ag/AgCl
A27	26	-81	-20	ring	Ag/AgCl
A28 (O2)	27	-83	-3	ring	Ag/AgCl
A29	27	-82	14	ring	Ag/AgCl
A30 (approx: PO4)	25	-78	31	ring	Ag/AgCl
A31 (approx: DRL)	28	-68	47	ring	Ag/AgCl
A32 (approx: P2)	24	-58	61	ring	Ag/AgCl
B1	17	-5	86	ring	Ag/AgCl
B2 (approx: CP2)	24	-24	81	ring	Ag/AgCl
B3	45	-45	61	ring	Ag/AgCl
B4 (approx: P4)	52	-52	47	ring	Ag/AgCl
B5	48	-66	31	ring	Ag/AgCl
B6	51	-70	14	ring	Ag/AgCl
B7 (PO8)	51	-71	-3	ring	Ag/AgCl
B8	50	-69	-20	ring	Ag/AgCl
B9	47	-64	-37	ring	Ag/AgCl
B10 (approx: P10)	69	-50	-20	ring	Ag/AgCl
B11 (P8)	71	-51	-3	ring	Ag/AgCl
B12	70	-51	14	ring	Ag/AgCl
B13 (approx: P6)	66	-48	31	ring	Ag/AgCl
B14 (TP8)	83	-27	-3	ring	Ag/AgCl
B15	82	-27	14	ring	Ag/AgCl
